# id	left	top	right	bottom	texture_id
[SPRITES]
500001	4	81	259	128	80

#Number
500100	524	25	531	32	80
500101	533	25	540	32	80
500102	542	25	549	32	80
500103	551	25	558	32	80
500104	560	25	567	32	80
500105	524	34	531	41	80
500106	533	34	540	41	80
500107	542	34	549	41	80
500108	551	34	558	41	80
500109	560	34	567	41	80

#Speed
500200	625	25	632	32	80
500201	653	25	668	32	80
500202	616	25	623	32	80
500204	636	25	651	32	80

#Gift
500301	672	25	687	40	80
500303	689	25	704	40	80
500302	706	25	721	40	80
500300	723	25	738	40	80

